wealth,age,educ,marry
32310.,29,4,1
698615.,67,4,0
20875.,54,2,1
30774.,44,5,1
7874.,23,4,0
151097.,42,4,1
435481.,49,2,1
29850.,63,5,0
6220.,33,4,1
49153.,30,3,0
23310.,34,1,1
101601.,75,4,1
29850.,31,1,0
650235.,60,5,1
428070.,44,3,0
5754.,27,1,1
75020.,41,1,0
3040.,30,3,0
1004428.,59,3,1
35365.,39,2,1
5115.,29,4,0
290089.,47,3,1
159188.,43,2,1
86028.,53,2,0
598163.,52,4,1
222132.,36,3,0
178437.,30,2,1
42119.,24,4,0
22370.,36,3,1
443738.,53,5,1
388020.,38,4,0
125132.,47,4,0
2113.,29,2,1
813818.,58,2,1
274581.,53,2,0
934.,27,5,0
9044.,26,2,0
2394.,26,3,1
50990.,55,2,1
78891.,30,3,0
115431.,79,2,0
5038.,24,1,0
83433.,33,2,1
66965.,46,1,0
458075.,56,2,1
33445.,32,4,1
108943.,47,3,1
8705.,23,1,0
64896.,56,4,1
59557.,27,4,0
59178.,72,4,1
57743.,41,3,1
1751.,29,3,0
176764.,45,3,0
9398.,22,2,0
81753.,72,2,1
135705.,64,3,1
19291.,32,3,1
66513.,32,4,0
57092.,31,2,1
